,EventName,Date,City/Country,Exhibits,URL
10,in cosmetics Latin America 2021,"September 22, 2021 - September 23, 2021",San Paulo(Sao Paulo) Brazil Central and South America,"Fragrances, Preservatives, Conditioners, Emulsifiers, Rheological / Thickener Modifiers, Silicones, Softener / Oils / Fats, Humidifier, Solubilisers, Antioxidants / Radical scavengers, Anti-Inflammatory / Anti-Irritant / Soothing agents, Waxes, Botanical / Essential Oils / Plant Extracts, UV filters, Biological / Marine Extracts / Bio-fermentation",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110476
11,FIEE SMART FUTURE 2021,"July 20, 2021 - July 23, 2021",San Paulo(Sao Paulo) Brazil Central and South America,"Connectivity, Energy Efficiency, Smart Cities, Industry 4.0, Startups",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110391
12,"26th INTERMODAL 2021 South America International Exhibition for Logistics, Cargo Transport and International Trade","August 31, 2021 - September  2, 2021",San Paulo(Sao Paulo) Brazil Central and South America,"Cargo Agents / Freight Forwarder / NVOCC,Banks, Brokers and Insurance Companies, Logistics Condos, Customs Clearance,EADIs, Transportation Packaging, Entities, Trade Associations and Chambers of Commerce, Equipments, Newspapers, Magazines, National and International Sites, Material Handling / Intralogistics, Logistic operator, Technology - IT, Telematics, Security, E-commerce, Softwares / Systems, Terminals, Air transport, Rail transport,Shipping, Road transport",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/106911
13,Intersolar South America 2021,"August 24, 2021 - August 26, 2021",San Paulo(Sao Paulo) Brazil Central and South America,"Photovoltaics, PV Production Technology, Solar Thermal Technologies, Electrical Energy Storage",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110086
14,Future Print 2021,"July 21, 2021 - July 24, 2021",San Paulo(Sao Paulo) Brazil Central and South America,"Finishing and accessories, Promotional material, Sign and signage, Cutting and recording, Packaging, 3d printing, Digital Signage, Textile digital printing, Silkscreen, Digital signage, Software, Sublimation",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110087
15,Fi South America 2021 Food ingredients South America,"August 10, 2021 - August 12, 2021",San Paulo(Sao Paulo) Brazil Central and South America,"Food, beverage and nutraceutical ingredients, Natural and Organic ingredient",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/108567
16,FEIPLASTIC 2021,"April  6, 2021 - April  9, 2021",San Paulo(Sao Paulo) Brazil Central and South America,"Plastic product manufacturing, plastics, basic chemicals, chemical raw materials, manufacturing machinery and equipment and accessories, tools and molds, design and technical services, financial services, trade journals, NIA information technology",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110027
17,Equipotel Sao Paulo 2021,"September 14, 2021 - September 17, 2021",San Paulo(Sao Paulo) Brazil Central and South America,"Cooking & Serving Accessories, products and utensils, Professional kitchen,  Food and beverage equipment, Coffee equipment, Appliances, Food service, Food and beverage services, Tableware, Bathrooms and accessories, Bed, bath and table, Decoration, Lighting, Indoor and outdoor furniture, Architectural and decoration services, Signage, Automation, Access control and electronic security, E-commerce, Technology equipment, Management tools Information, Security, Laundry equipment, products and services, Cleaning, Cleaning equipment, products and services, Amenities and personal hygiene, Fitness and sports, Spa, Games, Leisure and entertainment, PPE Maintenance, Tools, Logistics and transportation, Uniform, Services",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109931
18,FCE Pharma,"June  8, 2021 - June 10, 2021",San Paulo(Sao Paulo) Brazil Central and South America,"Raw materials, Packaging, Machinery and equipment, Quality control, Laboratory equipment, Contamination control, New Technology for pharmaceutical industry, Services, and more.entire supply chain that the industry offers in products and services, from raw materials and machinery, through quality control and traceability, to storage and final product delivery.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/107849
19,FCE Cosmetique,"June  8, 2021 - June 10, 2021",San Paulo(Sao Paulo) Brazil Central and South America,"Fragrances, Machinery and equipment, Accessories and Services, Outsourcing, Packing/Valves/Sprays, Raw materials, and more.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/107852
20,FESQUA 2021 International Trade Show of Window Door Industry,"June  8, 2021 - June 11, 2021",San Paulo(Sao Paulo) Brazil Central and South America,"frames and windows, doors, windows, facades, ceilings, gates, grids, accessories and components, machinery and equipment for the window and glass industry, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109049
21,"Reatech International Trade Fair on Rehabilitation, Inclusion and Accessibility and Technologies","May 27, 2021 - May 30, 2021",San Paulo(Sao Paulo) Brazil Central and South America,"Rehabilitation products, Inclusion products, Accessibility products.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/108199
